Word,Compare_Full_Name
Asobo,False
787,False
a320,False
747,False
livery,False
liveries,False
172,False
152,False
cj4,False
a32nx,False
aircraft,False
workingtitle,False
pack,False
Uwa,False
Karolin Heat Plant,True
unreal-weather-live-metar,True
