
[28.11.2020 01:00:55]: Traian Vuia (LRTR) [Airport LRTR-Timisoara]: Romania, 
[28.11.2020 01:00:55]: Thule AFB (BGTL) [airport-bgtl-thuleafb1.2-superspud]: Greenland, 
[28.11.2020 01:00:55]: Machmell Fisheries (CYB2) [airport-cby2-machmell]: Canada, 
[28.11.2020 01:00:55]: Leipzig/Halle (EDDP) [airport-dastrobel-eddp_taxiway_FIX]: , 
[28.11.2020 01:00:55]: Flugplatz Rotenburg (EDXQ) [Airport-EDXQ-Rotenburg]: Germany, Niedersachen
[28.11.2020 01:00:55]: Halli (EFHA) [airport-efha-bli]: Finland, 
[28.11.2020 01:00:55]: Oulu Lentoasema (EFOU) [airport-efou]: Finland, Northern Ostrobothnia
[28.11.2020 01:00:55]: Tingwall (EGET) [airport-eget-tingwall1.1-superspud]: United Kingdom, 
[28.11.2020 01:00:55]: Liverpool (EGGP) [airport-eggp-liverpool-superspud]: United Kingdom, 
[28.11.2020 01:00:55]: St Just (EGHC) [airport-eghc-landsend-superspud]: United Kingdon, Kernow
[28.11.2020 01:00:55]: St Mawgan AB (EGHQ) [airport-eghq-newquay-superspud]: , 
[28.11.2020 01:00:55]: Barra (EGPR) [airport-egpr-barra-superspud-nopoles]: United Kingdom, 
[28.11.2020 01:00:55]: Baltasound Airfield (EGPW) [airport-egpw-unst1.1-superspud]: , 
[28.11.2020 01:00:55]: Exeter (EGTE) [airport-egte-exeter-superspud]: , 
[28.11.2020 01:00:55]: Foula Airfield (EGZR) [airport-egzr-foula1.0-superspud]: , 
[28.11.2020 01:00:55]: Vagar (EKVG) [airport-ekvg-vagar1.5-superspud]: , Faroe Islands
[28.11.2020 01:00:55]: Brannebrona (ESGN) [airport-esgn]: Sweden, 
[28.11.2020 01:00:55]: Potchefstroom (FAPS) [airport-faps-faps]: , 
[28.11.2020 01:00:55]: Fetlar (FEA) [airport-fea-fetlar1.1-superspud]: , 
[28.11.2020 01:00:55]: RAF Ascension Island (FHAW) [airport-fhaw-rafascension1.2-superspud]: , 
[28.11.2020 01:00:55]: St Helena (FHSH) [airport-fhsh-sthelena1.41-superspud]: United Kingdom Overseas Territories, St Helena
[28.11.2020 01:00:55]: Roclincourt-Arras (LFQD) [airport-france-lfqd roclincourt 1.10]: France, 
[28.11.2020 01:00:55]: North Island Naval Air Station (KNZY) [airport-julysfire-knzy]: United States of America, California
[28.11.2020 01:00:55]: Kenyon Hall Farm (KHF) [airport-khf-strip]: , 
[28.11.2020 01:00:55]: Varazdin (LDVA) [airport-ldva-varazdin]: , 
[28.11.2020 01:00:55]: Zaragoza (LEZG) [airport-lezg]: Spain, Aragon
[28.11.2020 01:00:55]: Leognan Saucats (LFCS) [airport-lfcs-leognan]: France, 
[28.11.2020 01:00:55]: Yvrac (LFDY) [airport-lfdy-yvrac]: France, 
[28.11.2020 01:00:55]: Casera Razzo (LID1) [airport-lid1-caserarazzo]: Italy, Vento
[28.11.2020 01:00:55]: Carpi Budrione (LIDU) [airport-lidu]: Italy, Italy
[28.11.2020 01:00:55]: Campo Volo Willy Coyote (LITZ) [airport-litz]: Italy, Modena
[28.11.2020 01:00:55]: New Garden Airport (N57) [airport-n57]: Usa, Pennsylvania
[28.11.2020 01:00:55]: Argyle International Airport (TVSA) [airport-tvsa-argyle-superspud]: , 
[28.11.2020 01:00:55]: Nagurskoye Air Base (UODN) [airport-uodn-nagurskoye air base1.0-superspud]: Russia, 
[28.11.2020 01:00:55]: Pelican Lake Airport (UT69) [airport-ut69]: Usa, Utah
[28.11.2020 01:00:55]: Beaufort (YBFT) [airport-ybft-beaufort]: Australia, Victoria
[28.11.2020 01:00:55]: Barthurst Harbour (YBHB) [airport-ybhb-bathurst-harbour]: Australia, Tasmania
[28.11.2020 01:00:55]: Benambra Airport (YBRA) [airport-ybra-benambra -v1.2]: Australia, Victoria
[28.11.2020 01:00:55]: Charlton Airport (YCHL) [airport-ychl-charlton]: Australia, Victoria
[28.11.2020 01:00:55]: Avalon Airport (YMAV) [airport-ymav-avalon]: Asutralia, Victoria
[28.11.2020 01:00:55]: Oatlands (YMOA) [airport-ymoa-oatlands]: Australia, Tasmania
[28.11.2020 01:00:55]: Patchewollock (YPCH) [airport-ypch-patchewollock]: Australia, Victoria
[28.11.2020 01:00:55]: Redcliffe Aerodrome (YRED) [airport-yred]: Australia, Queensland
[28.11.2020 01:00:55]: Alxa Right Banner (ZBAR) [airport-zbar-badanjilin-mottoth]: China, Inner Mongolia
[28.11.2020 01:00:55]: Puning (ZBCD) [airport-zbcd-chengde-mottoth]: China, Hebei
